City,Sector,Polygon,Center-Lat,Center-Lng,Area,Area-Type,Area-Unit,Price
Gurgaon,,,,,,,,
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,30,Plot ,Sq. Yards,"34,000"
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,10,Plot ,Sq. Yards,"20,000"
 ,Palam Vihar,"[{'lng': 77.04605275, 'lat': 28.51671227}, {'lng': 77.04770856, 'lat': 28.52019364}, {'lng': 77.04801693, 'lat': 28.52052015}, {'lng': 77.04400746, 'lat': 28.52258834}, {'lng': 77.04290912, 'lat': 28.52342352}, {'lng': 77.04349673, 'lat': 28.52388344}, {'lng': 77.04337028, 'lat': 28.5248644}, {'lng': 77.04217147, 'lat': 28.52542734}, {'lng': 77.04201269, 'lat': 28.52577966}, {'lng': 77.04145608, 'lat': 28.52514542}, {'lng': 77.03789906, 'lat': 28.52087922}, {'lng': 77.0360312, 'lat': 28.5186764}, {'lng': 77.03349325, 'lat': 28.51566064}, {'lng': 77.03502487, 'lat': 28.51464153}, {'lng': 77.03786049, 'lat': 28.51273849}, {'lng': 77.03999942, 'lat': 28.51099389}, {'lng': 77.0404561, 'lat': 28.5106194}, {'lng': 77.04179381, 'lat': 28.51004505}, {'lng': 77.04142642, 'lat': 28.5107338}, {'lng': 77.04116703, 'lat': 28.51138146}, {'lng': 77.04119837, 'lat': 28.51160174}, {'lng': 77.04125781, 'lat': 28.5116933}, {'lng': 77.04161333, 'lat': 28.5118103}, {'lng': 77.04210899, 'lat': 28.51180537}, {'lng': 77.04222239, 'lat': 28.51170752}, {'lng': 77.04243471, 'lat': 28.51162031}, {'lng': 77.04278175, 'lat': 28.51142724}, {'lng': 77.04490742, 'lat': 28.51385676}, {'lng': 77.04605275, 'lat': 28.51671227}]",28.517649,77.0420541,200,Built-up ,Sq.Ft.,"45,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,200,Built-up ,Sq.Ft.,"45,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,30,Plot ,Sq. Yards,"34,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,10,Plot ,Sq. Yards,"20,000"
 ,Sector-110 A Gurgaon,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,150,Built-up ,Sq.Ft.,"22,000"
 ,Sector-110 A Gurgaon,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,181,Carpet ,Sq.Ft.,"22,500"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,350,Plot ,Sq.Ft.,"12,000"
 ,Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,450,Built-up ,Sq.Ft.,"10,000"
 ,New Palam Vihar,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,2250,Built-up ,Sq.Ft.,"22,500"
 ,Dharam Colony,"[{'lng': 77.03089695, 'lat': 28.51257391}, {'lng': 77.02464118, 'lat': 28.50514008}, {'lng': 77.02736005, 'lat': 28.50318055}, {'lng': 77.02901978, 'lat': 28.50217388}, {'lng': 77.02956536, 'lat': 28.5027253}, {'lng': 77.03076237, 'lat': 28.50314283}, {'lng': 77.03155922, 'lat': 28.50331029}, {'lng': 77.03367264, 'lat': 28.50356501}, {'lng': 77.03615787, 'lat': 28.50362712}, {'lng': 77.03708005, 'lat': 28.50465698}, {'lng': 77.04181962, 'lat': 28.5100491}, {'lng': 77.04039121, 'lat': 28.510598}, {'lng': 77.03349324, 'lat': 28.51565661}, {'lng': 77.03089695, 'lat': 28.51257391}]",28.509691,77.032006,250,Plot ,Sq. Yards,"20,000"
 ,Ashok Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,250 to 300,Built-up ,Sq.Ft.,"10,000 to 12,000"
 ,Ashok Vihar Phase II,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,110,Built-up ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,550,Built-up ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,835,Built-up ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,550,Built-up ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,830,Plot ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,535,Built-up ,Sq.Ft.,5000
 ,Palam Vihar,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,610,Built-up ,Sq.Ft.,4500
 ,Rajendra Park,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,1000,Built-up ,Sq.Ft.,"10,000"
 ,Daulatabad Industrial Area,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,161,Plot ,Sq. Yards,"35,000"
 ,Sheetla Colony,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,1800 to 2000,Plot ,Sq. Yards,"36,000 to 40,000"
 ,Daulatabad Industrial Area,"[{'lng': 77.01462485, 'lat': 28.48081179}, {'lng': 77.01609806, 'lat': 28.48130728}, {'lng': 77.0173282, 'lat': 28.48327883}, {'lng': 77.01824487, 'lat': 28.484633}, {'lng': 77.01914264, 'lat': 28.48520403}, {'lng': 77.01982249, 'lat': 28.48550513}, {'lng': 77.01979401, 'lat': 28.4886465}, {'lng': 77.01958644, 'lat': 28.48988161}, {'lng': 77.01960624, 'lat': 28.49118105}, {'lng': 77.01983718, 'lat': 28.49306678}, {'lng': 77.02036072, 'lat': 28.49438817}, {'lng': 77.02249991, 'lat': 28.49726099}, {'lng': 77.02321383, 'lat': 28.49798566}, {'lng': 77.02514851, 'lat': 28.49939208}, {'lng': 77.02906284, 'lat': 28.50217758}, {'lng': 77.02467304, 'lat': 28.50517891}, {'lng': 77.02109792, 'lat': 28.50105557}, {'lng': 77.01481267, 'lat': 28.49365239}, {'lng': 77.01090886, 'lat': 28.48871396}, {'lng': 77.01452082, 'lat': 28.4807631}, {'lng': 77.01462485, 'lat': 28.48081179}]",28.49091,77.01758,1,Plot ,Ares,4 Lac
 ,Sector-4 Gurgaon,"[{'lng': 77.00178975, 'lat': 28.47194376}, {'lng': 77.0034414, 'lat': 28.47137343}, {'lng': 77.00376493, 'lat': 28.47198626}, {'lng': 77.00398787, 'lat': 28.47217599}, {'lng': 77.00483162, 'lat': 28.47063189}, {'lng': 77.00546308, 'lat': 28.46893359}, {'lng': 77.01283402, 'lat': 28.47166108}, {'lng': 77.01715624, 'lat': 28.4732635}, {'lng': 77.01798358, 'lat': 28.47363393}, {'lng': 77.01773238, 'lat': 28.47423097}, {'lng': 77.01472342, 'lat': 28.48059328}, {'lng': 77.01469981, 'lat': 28.48075035}, {'lng': 77.01463935, 'lat': 28.48082777}, {'lng': 77.01451824, 'lat': 28.4807537}, {'lng': 77.00450915, 'lat': 28.47724282}, {'lng': 77.00224907, 'lat': 28.47644587}, {'lng': 77.00215874, 'lat': 28.47638746}, {'lng': 77.00258537, 'lat': 28.47533476}, {'lng': 77.00241539, 'lat': 28.47516623}, {'lng': 77.00154343, 'lat': 28.47279689}, {'lng': 77.00178975, 'lat': 28.47194376}]",28.4741603,77.0075055,1250,Built-up ,Sq.Ft.,"60,000"
 ,Sector-7 Gurgaon,"[{'lng': 77.00178975, 'lat': 28.47194376}, {'lng': 77.0034414, 'lat': 28.47137343}, {'lng': 77.00376493, 'lat': 28.47198626}, {'lng': 77.00398787, 'lat': 28.47217599}, {'lng': 77.00483162, 'lat': 28.47063189}, {'lng': 77.00546308, 'lat': 28.46893359}, {'lng': 77.01283402, 'lat': 28.47166108}, {'lng': 77.01715624, 'lat': 28.4732635}, {'lng': 77.01798358, 'lat': 28.47363393}, {'lng': 77.01773238, 'lat': 28.47423097}, {'lng': 77.01472342, 'lat': 28.48059328}, {'lng': 77.01469981, 'lat': 28.48075035}, {'lng': 77.01463935, 'lat': 28.48082777}, {'lng': 77.01451824, 'lat': 28.4807537}, {'lng': 77.00450915, 'lat': 28.47724282}, {'lng': 77.00224907, 'lat': 28.47644587}, {'lng': 77.00215874, 'lat': 28.47638746}, {'lng': 77.00258537, 'lat': 28.47533476}, {'lng': 77.00241539, 'lat': 28.47516623}, {'lng': 77.00154343, 'lat': 28.47279689}, {'lng': 77.00178975, 'lat': 28.47194376}]",28.4741603,77.0075055,700 to 800,Built-up ,Sq.Ft.,"17,500 to 20,000"
